ann1,ann2,alpha,kappa,AvgObs,type,time,correct,maxconf,total
3,56,0.223204,0.217683,0.700413,symmetric,4.324000,9.977848,1,99
54,57,0.162931,0.153149,0.643799,symmetric,53.794000,9.973607,1,99
39,57,0.164231,0.158500,0.674591,symmetric,45.915000,9.985423,1,99
39,62,0.247377,0.227627,0.581706,symmetric,46.243000,9.948052,1,99
3,16,0.258856,0.241876,0.684877,symmetric,0.389000,9.986450,1,99
6,23,0.252736,0.249267,0.562902,symmetric,5.479000,9.957929,1,99
46,56,0.243193,0.228754,0.591077,symmetric,50.253000,9.966480,1,99
26,39,0.115329,0.054452,0.432445,symmetric,22.209000,9.979651,1,99
57,58,0.152970,0.149894,0.696583,symmetric,54.800000,9.936599,1,99
3,50,0.237824,0.208484,0.622120,symmetric,3.640000,9.993846,1,99
26,58,0.079114,0.003974,0.424534,symmetric,24.001000,9.971591,1,99
26,31,0.174999,0.134902,0.458463,symmetric,20.853000,9.981928,1,99
26,57,0.080150,-0.003628,0.432731,symmetric,23.817000,9.976608,1,99
39,51,0.175305,0.093696,0.395486,symmetric,45.428000,9.994536,1,99
33,51,0.157993,0.086949,0.385862,symmetric,34.640000,9.989011,1,99
46,51,0.230336,0.192132,0.414853,symmetric,49.860000,9.759450,1,99
31,34,0.171494,0.134502,0.450234,symmetric,28.050000,9.967213,1,99
33,58,0.259023,0.254692,0.689565,symmetric,35.192000,9.979651,1,99
44,57,0.158118,0.110265,0.513641,symmetric,47.587000,9.979351,1,99
31,57,0.191926,0.178546,0.648206,symmetric,29.727000,9.980170,1,99
54,56,0.258338,0.254974,0.652608,symmetric,53.700000,9.981073,1,99
3,57,0.173093,0.170475,0.723865,symmetric,4.452000,9.961538,1,99
46,58,0.235627,0.215391,0.606003,symmetric,50.640000,9.963788,1,99
26,44,0.249662,0.241120,0.470191,symmetric,22.383000,9.951613,1,99
6,58,0.288724,0.275212,0.642067,symmetric,9.240000,9.991045,1,99
44,51,0.223313,0.189304,0.379147,symmetric,47.085000,9.971910,1,99
31,50,0.249227,0.239837,0.577863,symmetric,28.978000,9.966154,1,99
44,62,0.215852,0.202027,0.464710,symmetric,47.962000,9.947368,1,99
3,26,0.117465,0.030278,0.455325,symmetric,1.086000,9.730978,1,99
26,56,0.132994,0.076670,0.445932,symmetric,23.681000,9.965217,1,99
54,62,0.242390,0.228377,0.559393,symmetric,54.089000,9.948387,1,99
46,54,0.241273,0.232349,0.573470,symmetric,50.039000,9.974860,1,99
44,56,0.239551,0.213326,0.541214,symmetric,47.448000,9.971429,1,99
46,57,0.184947,0.156056,0.586649,symmetric,50.430000,9.978082,1,99
44,58,0.194299,0.154775,0.527150,symmetric,47.784000,9.980000,1,99
6,34,0.294232,0.272749,0.510506,symmetric,7.369000,9.981949,1,99
30,58,0.293939,0.285777,0.679301,symmetric,26.997000,9.981873,1,99
31,51,0.168402,0.103762,0.378228,symmetric,29.317000,9.994505,1,99
46,50,0.292907,0.288386,0.571135,symmetric,49.473000,9.973684,1,99
44,50,0.177216,0.160338,0.449459,symmetric,46.775000,9.974922,1,99
31,62,0.287606,0.274638,0.582282,symmetric,30.077000,9.986441,1,99
39,56,0.301520,0.299486,0.696234,symmetric,45.775000,9.963889,1,99
33,39,0.354151,0.351999,0.712427,symmetric,33.746000,9.984663,1,99
33,54,0.259923,0.257523,0.646451,symmetric,34.760000,9.980198,1,99
6,50,0.291103,0.286085,0.572291,symmetric,8.289000,9.987342,1,99
33,34,0.201118,0.161589,0.486275,symmetric,33.492000,9.966805,1,99
31,58,0.255132,0.246425,0.666108,symmetric,29.875000,9.973214,1,99
26,34,0.096210,0.054622,0.311214,symmetric,21.865000,9.929368,1,99
33,57,0.210887,0.201624,0.678984,symmetric,35.042000,9.966197,1,99
46,62,0.274020,0.267394,0.545053,symmetric,50.893000,9.948097,1,99
3,30,0.259347,0.245442,0.676974,symmetric,1.295000,9.993921,1,99
26,30,0.121937,0.074890,0.411328,symmetric,20.687000,9.975758,1,99
3,62,0.237690,0.203040,0.602502,symmetric,4.791000,9.962319,1,99
50,58,0.241772,0.220935,0.613325,symmetric,51.890000,9.983193,1,99
21,34,0.177859,0.135729,0.459837,symmetric,15.433000,9.971888,1,99
3,34,0.157255,0.093863,0.488718,symmetric,2.621000,9.992806,1,99
51,58,0.163596,0.067475,0.394892,symmetric,53.259000,9.947214,1,99
3,54,0.207313,0.195967,0.666394,symmetric,4.079000,9.986799,1,99
3,39,0.324514,0.319593,0.741451,symmetric,2.914000,9.984848,1,99
26,62,0.099139,0.064798,0.360352,symmetric,24.216000,9.960714,1,99
26,50,0.084380,0.042836,0.357388,symmetric,22.941000,9.959119,1,99
33,62,0.293456,0.280835,0.603391,symmetric,35.335000,9.982609,1,99
33,46,0.364646,0.357396,0.655264,symmetric,34.215000,9.996774,1,99
3,6,0.251708,0.231802,0.636500,symmetric,0.104000,9.986755,1,99
33,44,0.223368,0.200219,0.526860,symmetric,33.899000,9.992780,1,99
33,50,0.298304,0.290007,0.622995,symmetric,34.347000,9.974194,1,99
3,58,0.297302,0.294478,0.752898,symmetric,4.593000,9.970501,1,99
21,58,0.138179,0.128070,0.627111,symmetric,17.371000,9.988166,1,99
33,56,0.249285,0.245659,0.662296,symmetric,34.936000,9.988571,1,99
3,21,0.160018,0.144898,0.652612,symmetric,0.614000,9.972752,1,99
57,62,0.143177,0.103399,0.545303,symmetric,54.976000,9.980000,1,99
30,51,0.225219,0.175227,0.431832,symmetric,26.449000,9.954248,1,99
54,58,0.240782,0.234614,0.666108,symmetric,53.934000,9.947674,1,99
3,44,0.206950,0.158634,0.545048,symmetric,3.092000,9.936639,1,99
31,44,0.281674,0.266032,0.551755,symmetric,28.502000,9.976812,1,99
39,44,0.213131,0.184089,0.525088,symmetric,44.571000,9.928571,1,99
6,21,0.141602,0.130101,0.528602,symmetric,5.312000,9.988636,1,99
21,23,0.204035,0.193263,0.576979,symmetric,14.086000,9.988701,1,99
31,56,0.264344,0.259537,0.650264,symmetric,29.598000,9.972393,1,99
21,50,0.153269,0.136477,0.530646,symmetric,16.445000,9.947040,1,99
39,50,0.246757,0.231952,0.600145,symmetric,45.140000,9.943218,1,99
3,51,0.140825,0.026728,0.381750,symmetric,3.953000,9.983957,1,99
3,23,0.151651,0.127357,0.601596,symmetric,0.809000,9.968454,1,99
6,16,0.191923,0.181013,0.550312,symmetric,5.094000,9.983099,1,99
30,50,0.287715,0.283984,0.601016,symmetric,26.171000,9.898361,1,99
3,31,0.242147,0.227619,0.673720,symmetric,1.511000,9.993528,1,99
30,34,0.240242,0.211099,0.499121,symmetric,25.250000,9.957746,1,99
39,58,0.357530,0.355108,0.740580,symmetric,46.054000,9.978202,1,99
31,39,0.318161,0.313935,0.678122,symmetric,28.335000,9.962857,1,99
26,51,0.041696,-0.008107,0.223008,symmetric,23.325000,9.980769,1,99
56,58,0.257325,0.254180,0.697467,symmetric,54.446000,9.988095,1,99
